Rank,ID,start datetime,end datetime,Data file
107,2288,2013/10/19 15:10,2013/10/23 08:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\107_2288_Birmingham_EA-RG_201310191510-201310230845.csv
108,2482,2014/08/11 13:50,2014/08/11 17:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\108_2482_Birmingham_EA-RG_201408111350-201408111730.csv
109,1493,2010/04/29 11:20,2010/05/01 02:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\109_1493_Birmingham_EA-RG_201004291120-201005010210.csv
110,1177,2008/12/12 18:50,2008/12/14 03:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\110_1177_Birmingham_EA-RG_200812121850-200812140310.csv
111,628,2006/08/25 15:00,2006/08/26 05:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\111_628_Birmingham_EA-RG_200608251500-200608260500.csv
112,1065,2008/07/01 17:25,2008/07/02 04:30,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\112_1065_Birmingham_EA-RG_200807011725-200807020430.csv
113,641,2006/09/13 20:35,2006/09/14 12:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\113_641_Birmingham_EA-RG_200609132035-200609141200.csv
114,871,2007/09/24 19:30,2007/09/24 21:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\114_871_Birmingham_EA-RG_200709241930-200709242155.csv
115,1322,2009/07/31 17:25,2009/08/01 14:35,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\115_1322_Birmingham_EA-RG_200907311725-200908011435.csv
116,1511,2010/06/09 15:05,2010/06/09 22:45,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\116_1511_Birmingham_EA-RG_201006091505-201006092245.csv
117,1296,2009/06/30 03:05,2009/06/30 13:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\117_1296_Birmingham_EA-RG_200906300305-200906301355.csv
118,442,2005/11/08 12:35,2005/11/08 21:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\118_442_Birmingham_EA-RG_200511081235-200511082155.csv
119,2481,2014/08/09 21:05,2014/08/11 01:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\119_2481_Birmingham_EA-RG_201408092105-201408110120.csv
120,2922,2016/06/12 07:35,2016/06/12 15:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\120_2922_Birmingham_EA-RG_201606120735-201606121540.csv
121,2234,2013/07/23 01:20,2013/07/23 08:55,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\121_2234_Birmingham_EA-RG_201307230120-201307230855.csv
122,2983,2016/09/13 12:40,2016/09/13 17:05,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\122_2983_Birmingham_EA-RG_201609131240-201609131705.csv
123,2450,2014/06/03 14:35,2014/06/04 21:20,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\123_2450_Birmingham_EA-RG_201406031435-201406042120.csv
124,1981,2012/06/28 00:05,2012/06/28 12:10,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\124_1981_Birmingham_EA-RG_201206280005-201206281210.csv
125,1994,2012/07/12 15:15,2012/07/14 06:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\125_1994_Birmingham_EA-RG_201207121515-201207140600.csv
126,2916,2016/06/01 07:05,2016/06/01 08:40,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\126_2916_Birmingham_EA-RG_201606010705-201606010840.csv
127,2154,2013/02/04 21:10,2013/02/05 01:00,I:\Data_centre\FloodCitiSense\RG\01-1_EventSelection_3000\Merged_Data\127_2154_Birmingham_EA-RG_201302042110-201302050100.csv
